# OurAirports airports.csv, filtered and vendored. Nothing here is typed by hand.
#
# Source     https://davidmegginson.github.io/ourairports-data/airports.csv
# Licence    Public domain (OurAirports releases its data into the public domain)
# Retrieved  2026-09-20
# Filter     iso_country = IN, iata_code non-empty, scheduled_service = yes
# Rows       116
# Columns    kept verbatim from the source, unused source columns dropped
#
# Refreshing this file: re-run the filter above against a fresh download. Do not
# edit rows in place. A correction belongs upstream in OurAirports, so the next
# refresh does not silently undo it.
#
# Lines beginning with # are skipped by the loader. Everything after is RFC 4180.
"ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","wikipedia_link"
"VA1P","small_airport","Diu Airport","20.714185","70.921855","31","AS","IN","IN-DH","Diu","yes","VADU","DIU","https://en.wikipedia.org/wiki/Diu_Airport"
"VEMR","medium_airport","Dimapur Airport","25.883899688699998","93.77110290530001","487","AS","IN","IN-NL","Dimapur","yes","VEMR","DMU","https://en.wikipedia.org/wiki/Dimapur_Airport"
"IN-0392","large_airport","Noida International Airport","28.179868","77.611843","644","AS","IN","IN-UP","Gautam Buddha Nagar","yes","VIND","DXN","https://en.wikipedia.org/wiki/Noida_International_Airport"
"VEGT","large_airport","Lokpriya Gopinath Bordoloi International Airport","26.106654","91.585226","162","AS","IN","IN-AS","Guwahati","yes","VEGT","GAU","https://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport"
"VEGY","medium_airport","Gaya Airport","24.744301","84.951202","380","AS","IN","IN-BR","Gaya","yes","VEGY","GAY","https://en.wikipedia.org/wiki/Gaya_Airport"
"VOGB","small_airport","Kalaburagi Airport","17.308154","76.965246","1571","AS","IN","IN-KA","Kalaburagi","yes","VOGB","GBI","https://en.wikipedia.org/wiki/Kalaburagi_Airport"
"VA2C","medium_airport","Gondia Airport","21.526817","80.290347","987","AS","IN","IN-MM","Gondia","yes","VAGD","GDB","https://en.wikipedia.org/wiki/Gondia_Airport"
"VOGO","large_airport","Goa Dabolim International Airport","15.380062","73.833328","150","AS","IN","IN-GA","Vasco da Gama","yes","VOGO","GOI","https://en.wikipedia.org/wiki/Dabolim_Airport"
"VEGK","medium_airport","Gorakhpur Airport","26.739700317399997","83.4496994019","259","AS","IN","IN-UP","Gorakhpur","yes","VEGK","GOP","https://en.wikipedia.org/wiki/Gorakhpur_Airport"
"VOGA","large_airport","Manohar International Airport","15.744257","73.860625","552","AS","IN","IN-GA","Mopa","yes","VOGA","GOX","https://en.wikipedia.org/wiki/Manohar_International_Airport"
"VIGR","medium_airport","Gwalior Airport","26.29330062866211","78.22779846191406","617","AS","IN","IN-MP","Gwalior","yes","VIGR","GWL","https://en.wikipedia.org/wiki/Gwalior_Airport"
"VAHB","medium_airport","Hubballi Airport","15.361084","75.082096","2171","AS","IN","IN-KA","Hubballi","yes","VOHB","HBX","https://en.wikipedia.org/wiki/Hubli_Airport"
"VIDX","small_airport","Hindon Airport / Hindon Air Force Station","28.707701","77.358902","700","AS","IN","IN-UP","Ghaziabad","yes","VIDX","HDO","https://en.wikipedia.org/wiki/Hindon_Airport"
"IN-0308","medium_airport","Itanagar Donyi Polo Hollongi Airport","26.96683","93.638792","328","AS","IN","IN-AR","Hollongi","yes","VEHO","HGI","https://en.wikipedia.org/wiki/Itanagar_Airport"
"VAKJ","medium_airport","Khajuraho Airport","24.8172","79.918602","728","AS","IN","IN-MP","Khajuraho","yes","VEKO","HJR","https://en.wikipedia.org/wiki/Khajuraho_Airport"
"VAHS","large_airport","Rajkot International Airport","22.378824","71.039391","647","AS","IN","IN-GJ","Rajkot","yes","VAHS","HSR","https://en.wikipedia.org/wiki/Rajkot_International_Airport"
"VIHR","large_airport","Maharaja Agrasen International Airport","29.186065","75.74142","700","AS","IN","IN-HR","Hisar","yes","VIHR","HSS","https://en.wikipedia.org/wiki/Hisar_Airport"
